# List of flux calibrators taken from the Perley_Butler 2013 calibrator list with the ATCA PKS1934-638 flux added from
# Reynolds 1994 (as used by Miriad). Frequencies are in Mhz (converted from Perley-Butler GHz)
J0437+2940 | 3C123,                     radec, 04:37:04.38,   +29:40:13.82,   (300.0 50000.0 3.1718 -0.1076 -0.1157)
J0813+4813 | 3C196,                     radec, 08:13:36.03,   +48:13:02.56,   (300.0 50000.0 1.4712 1.0273 -0.4533 0.0305)
J1331+3030 | 3C286,                     radec, 13:31:08.29,   +30:30:32.96,   (300.0 50000.0 0.1823 1.4757 -0.4739 0.0336)
J1411+5212 | 3C295,                     radec, 14:11:20.52,   +52:12:09.97,   (300.0 50000.0 -0.891 3.2992 -1.0181 0.0749)
J0137+3309 | 3C48,                      radec, 01:37:41.30,   +33:09:35.13,   (300.0 50000.0 0.2914 1.9940 -0.726 0.059), 2012 Values
J0521+1638 | 3C138,                     radec, 05:21:09.89,   +16:38:22.05,   (300.0 50000.0 0.5312 1.2644 -0.4887 0.0410), 2012 Values
J0542+4951 | 3C147,                     radec, 05:42:36.14,   +49:51:07.23,   (300.0 50000.0 -0.6969 2.8687 -0.9534 0.0790), 2012 Values
J1939-6342 | 1934-638,                  radec, 19:39:25.02,   -63:42:45.62,   (1000.0 10000.0 -30.7667 26.4908 -7.0977 0.605334)
J0408-6545 | 0408-65,                   radec, 04:08:20.38,   -65:45:09.10,   (300.0 50000.0 0.4288422 1.9395659 -0.66243187 0.03926736), Fit to NED data
